AbsClampIATCall                        returned 0 writes, no hit
ScaledNeg1SetPause                     returned 0 writes, no hit
ScaledNegThreeWords                    returned 2 writes, no hit
ScaledOr4DirtyClear                    returned 1 writes, no hit
ScaledOr4Jmp                           returned 3 writes, no hit
ScaledOr4Store                         returned 1 writes, no hit
ScaledOrAh8CallPauseJmp                returned 6 writes, no hit
ScaledOrStore_00441df0                 returned 1 writes, no hit
ScaledOrStore_004677a0                 returned 1 writes, no hit
ScaledOrStore_004903d0                 returned 1 writes, no hit
ScaledPopSaveJmp_00438440              returned 38 writes, no hit
ScaledPopSaveJmp_0043bb20              returned 42 writes, no hit
ScaledPushArg_00404b90                 returned 2 writes, no hit
ScaledPushArg_00404c00                 returned 2 writes, no hit
ScaledRunCountdownCluster              returned 14 writes, no hit
ScaledSaveCallRestoreJmp_InstallSelfMagicShift_then_MStackPush2ChainLLInsert_00472f40 returned 2 writes, no hit
ScaledSaveCallRestoreJmp_InstallSelfMagicShift_then_MStackPush2ChainLLInsert_00472f80 returned 2 writes, no hit
ScaledSearchSum                        returned 1 writes, no hit
ScaledSet1OnNonZero                    returned 0 writes, no hit
ScaledShrAnd                           returned 1 writes, no hit
ScaledStackCallPause                   returned 5 writes, no hit
ScaledStateNegCallPauseLoad            returned 1 writes, no hit
ScaledStore501Set8Jmp                  returned 13 writes, no hit
ScaledStoreCSet58Jmp                   returned 3 writes, no hit
ScaledStoreCallEpilogue                ran out  43 writes, no hit
ScaledStoreConst2                      returned 3 writes, no hit
ScaledStoreCurDirtyClear               returned 1 writes, no hit
ScaledStoreCurDirtyOr1                 returned 2 writes, no hit
ScaledStoreE0                          returned 0 writes, no hit
ScaledStoreEntZeroJmp                  returned 15 writes, no hit
ScaledStoreIdx24                       returned 1 writes, no hit
ScaledStoreIdxZeroJmp                  returned 15 writes, no hit
ScaledStoreOrFlagXor                   returned 3 writes, no hit
ScaledStoreThree_00409260              returned 4 writes, no hit
ScaledStoreThree_0049d310              returned 3 writes, no hit
ScaledSubStore                         returned 2 writes, no hit
ScaledTestCallPauseJmp                 returned 8 writes, no hit
ScaledTestCallPauseJmpFar              returned 8 writes, no hit
ScaledTestChainDispatch                returned 12 writes, no hit
ScaledTestPauseStore                   returned 1 writes, no hit
ScaledThreeChanPack                    returned 0 writes, no hit
ScaledTripleCopy10                     returned 1 writes, no hit
ScaledTripleCopy4                      returned 1 writes, no hit
ScaledTripleCopy54                     returned 3 writes, no hit
ScaledXorStore_004900f0                returned 2 writes, no hit
ScaledXorStore_004903b0                returned 2 writes, no hit
ScaledZero44                           returned 1 writes, no hit
ScaledZeroFour                         returned 7 writes, no hit
ScaledZeroIfNonzero                    returned 3 writes, no hit
ScanlineTexBlit                        returned 0 writes, no hit
ScanlineTexBlitAdditive                returned 0 writes, no hit
ScanlineTexBlitAlpha                   returned 0 writes, no hit
ScanlineTexBlitInterlaced              returned 0 writes, no hit
ScanlineTexBlitPaletted                returned 0 writes, no hit
SceneEvalFsm                           ran out  12 writes, no hit
SceneFrameStepWithInputs               ran out  0 writes, no hit
ScenePostInitSequencer                 ran out  7 writes, no hit
SceneRecordLookupRandInit              ran out  2 writes, no hit
ScenegraphWalk                         returned 0 writes, no hit
ScoreAiStatusFsmCluster                returned 0 writes, no hit
Screen_ArcadeEnding                    ran out  1 writes, no hit
Screen_BestKombatants                  ran out  25 writes, no hit
Screen_EnterInitials                   returned 6 writes, no hit
Screen_GreatestWarrior                 ran out  26 writes, no hit
Screen_Loading                         returned 1 writes, no hit
SehFpuExceptionDispatch                ran out  0 writes, no hit
SehUnwindCluster                       ran out  0 writes, no hit
SelfInstallPhaseDispatch_DualGatedStateYield_0045fd30 returned 13 writes, no hit
SelfInstallPhaseDispatch_DualGatedStateYield_00460000 returned 21 writes, no hit
SelfInstallPhaseDispatch_ScaledZeroFour returned 13 writes, no hit
SelfInstallPhaseDispatch_StackPopDispatchTagged returned 20 writes, no hit
SentinelInitTripleCall                 ran out  14 writes, no hit
SequenceLoopFalloutCalls               returned 5 writes, no hit
SequencedInit3Call                     ran out  25 writes, no hit
SequencedInit3CallB                    ran out  25 writes, no hit
Set0xaCmpEqSet0x26Jmp                  returned HIT ['0x535e0c']
Set1017CallPausePush                   returned 16 writes, no hit
Set14CallAddJmp                        returned 9 writes, no hit
Set1JmpSet2Jmp                         returned 3 writes, no hit
Set1dCallSet16Jmp                      returned 37 writes, no hit
Set1f4CallDirtyJmp                     returned 15 writes, no hit
Set200dCallPauseJmp                    returned 24 writes, no hit
Set258Call_PauseDirtyJmp               returned 44 writes, no hit
Set2CallDirtyCallPauseJmp              returned 4 writes, no hit
Set2CallIncJmp                         returned 6 writes, no hit
Set2FiveCallPauseJmp                   ran out  2815 writes, no hit
Set43DualCallJmp                       ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
Set4CallAddJmp                         returned 6 writes, no hit
Set5CallPauseTestByteJmpCall           ran out  3 writes, no hit
SetCallSetJmp                          returned 6 writes, no hit
SetDirty4XorScaledLoad                 returned 3 writes, no hit
SetFdMode                              ran out  0 writes, no hit
SetHi6                                 returned 0 writes, no hit
SetJmp_AlarmCountdownInstall_004609c0  returned 27 writes, no hit
SetJmp_AlarmCountdownInstall_004609d0  returned 28 writes, no hit
SetJmp_AudioBridgeMStackChainCopy_00440710 returned 4 writes, no hit
SetJmp_AudioBridgeMStackChainCopy_00440720 returned 4 writes, no hit
SetJmp_BootStateTriple                 returned 3 writes, no hit
SetJmp_CallPauseScaledStoreAdd         returned 4 writes, no hit
SetJmp_CharSelectFsmCluster_004561c0   returned 16 writes, no hit
SetJmp_CharSelectFsmCluster_004561d0   returned 16 writes, no hit
SetJmp_CharSelectFsmCluster_004561e0   returned 16 writes, no hit
SetJmp_Distance3DMul10Chain_0042d070   returned 8 writes, no hit
SetJmp_Distance3DMul10Chain_0042d080   returned 8 writes, no hit
SetJmp_DualLoadDualStoreJmp            returned 3 writes, no hit
SetJmp_EsiInstallBitCallChain          returned 16 writes, no hit
SetJmp_EsiInstallDecCallChain          returned 17 writes, no hit
SetJmp_GuardedSeq_00473f10_00451ad0    returned 11 writes, no hit
SetJmp_GuardedSeq_00473f10_00451b10    returned 11 writes, no hit
SetJmp_GuardedSeq_00473f10_00451b50    returned 11 writes, no hit
SetJmp_HitReactionDispatcher           returned 40 writes, no hit
SetJmp_InstallSelfChainEsi             returned 33 writes, no hit
SetJmp_InstallSelfMStackIndirect       returned 4 writes, no hit
SetJmp_InstallSelfTwoTailJmp           returned 19 writes, no hit
SetJmp_JuggleFsmCluster_00451b60       returned 11 writes, no hit
SetJmp_JuggleFsmCluster_00451b70       returned 11 writes, no hit
SetJmp_JuggleFsmCluster_00451b80       returned 11 writes, no hit
SetJmp_MStackPush4IndirectCall         returned 3 writes, no hit
SetJmp_Phase3InstallTableCheck         ran out  1 writes, no hit
SetJmp_Push16Call_004a1ac0             returned 2 writes, no hit
SetJmp_Push16Call_004a1ad0             returned 2 writes, no hit
SetJmp_ScaledArrStore                  returned 3 writes, no hit
SetJmp_ScaledLitLoadCall               returned 12 writes, no hit
SetJmp_SetJmp_00451ad0_00451aa0        returned 11 writes, no hit
SetJmp_SetJmp_00451ad0_00451ab0        returned 11 writes, no hit
SetJmp_SetJmp_00451ad0_00451ac0        returned 11 writes, no hit
SetJmp_SetJmp_00451b10_00451ae0        returned 11 writes, no hit
SetJmp_SetJmp_00451b10_00451af0        returned 11 writes, no hit
SetJmp_SetJmp_00451b10_00451b00        returned 11 writes, no hit
SetJmp_SetJmp_00451b50_00451b20        returned 11 writes, no hit
SetJmp_SetJmp_00451b50_00451b30        returned 11 writes, no hit
SetJmp_SetJmp_00451b50_00451b40        returned 11 writes, no hit
SetJmp_SixSubdispatchSpan_0045ebf0     returned 3 writes, no hit
SetJmp_SixSubdispatchSpan_0045ec00     returned 3 writes, no hit
SetJmp_StateDispatchYield_00438f50     returned 46 writes, no hit
SetJmp_StateDispatchYield_00438f60     returned 29 writes, no hit
SetJmp_StateDispatchYield_00438f70     returned 38 writes, no hit
SetJmp_Thunk_LinkedListBitMaskSearch   returned 3 writes, no hit
SetJmp_ZeroAndDirty4                   returned 1 writes, no hit
SetOnePairJmp_004a0110                 returned 21 writes, no hit
SetOnePairJmp_004a0420                 returned 22 writes, no hit
SetTagsCallCmpToggleDirty              returned 2 writes, no hit
SetViewport                            returned 2 writes, no hit
SetVtable5Slots                        returned 6 writes, no hit
SetWalk0xaCrossStore                   returned 5 writes, no hit
SetWalkCurCallPauseDirty               returned 8 writes, no hit
SetWorkType02CountFFB                  returned 17 writes, no hit
SetWorkTypeScaledCallStoreCcc          returned 4 writes, no hit
Setmode                                ran out  0 writes, no hit
SetupArgv                              ran out  0 writes, no hit
SetupBoneAnimFsm                       returned 33 writes, no hit
SetupHelperCluster                     returned 6 writes, no hit
SetupVecFsmCluster                     returned 4 writes, no hit
SevenArgThenTwoArg_PendingMatch_004ccd20 returned 0 writes, no hit
SevenArgThenTwoArg_PendingMatch_004ccd60 returned 0 writes, no hit
SevenEntrySelfCallTable                returned 9 writes, no hit
SevenThunkDispatcher                   returned 15 writes, no hit
SevenThunks                            returned 21 writes, no hit
SfxAttenuateAndApply                   returned 7 writes, no hit
SfxBlockCluster                        returned 24 writes, no hit
ShiftDownThreeAndAppend                returned 0 writes, no hit
Shl96By1                               returned 0 writes, no hit
ShowErrorMessage                       ran out  6 writes, no hit
Shr96By1                               returned 0 writes, no hit
ShrShrStoreJmp                         ran out  1 writes, no hit
SixBlockCjCascade                      returned 0 writes, no hit
SixCallSeqPushImm                      returned 1 writes, no hit
SixCrossStores                         returned 6 writes, no hit
SixDoublePushCall                      returned 0 writes, no hit
SixEntryYieldThunks                    returned 29 writes, no hit
SixSubdispatchSpan                     returned 2 writes, no hit
SixTagCallsTailJmp                     returned 5 writes, no hit
SizeGateInstallSelfThenSubMul10        returned 11 writes, no hit
SkelAnimUpdaterCluster                 returned 7 writes, no hit
SkelAnimUpdaterClusterV2               returned 7 writes, no hit
SlideAttackEventCluster                returned 0 writes, no hit
SlotCmp3way                            returned 3 writes, no hit
SlotEvent3EntryChain                   returned 30 writes, no hit
SlotFieldSwap3c                        returned 1 writes, no hit
SlotInitAndChainLink                   returned 2 writes, no hit
SlotPhaseDispatcherBigSwitch           returned 5 writes, no hit
SlotPhaseResetInstallChain             returned 12 writes, no hit
SmallMalloc                            ran out  0 writes, no hit
SmoothShiftBlit                        returned 0 writes, no hit
SnapshotDirtyMark                      returned HIT ['0x535e0c']
SnapshotDispatchAccum                  returned 6 writes, no hit
SnapshotDispatchMStack                 returned 16 writes, no hit
Snd3DSourceCleanup                     returned 0 writes, no hit
Snd3DSourceCleanupFiltered             returned 0 writes, no hit
Snd3DVolumePanSet                      returned 0 writes, no hit
SoundSetupLoop                         returned 13 writes, no hit
SpawnEffectCluster                     returned 3 writes, no hit
SpawnFreezeProjectileChain             returned 5 writes, no hit
SpawnImpactExplosion                   returned 24 writes, no hit
SpawnLeftRightAudioCrew                returned 12 writes, no hit
SpawnLeftRightProps                    returned 3 writes, no hit
SpawnListBatchLoader                   returned 9 writes, no hit
SpawnListGlyphRender                   returned 2 writes, no hit
SpawnPhaseAdvanceVoices                returned 2 writes, no hit
SpawnTrioInitCluster                   returned 8 writes, no hit
SpecialAnimBuilder                     returned HIT ['0x535e0c']
SpecialInitDirtyJmp                    returned 4 writes, no hit
SpecialMoveChainCluster                returned 10 writes, no hit
SplitHi8Lo24                           returned 1 writes, no hit
SplitInt32                             returned 0 writes, no hit
SplitPath                              returned 0 writes, no hit
Sprintf2WaySelect                      returned 2 writes, no hit
SqDistThresholdRevertAdvance           returned 0 writes, no hit
StackPeekDispatchIndirect              ran out  3 writes, no hit
StackPopDispatchTagged                 ran out  2 writes, no hit
StackPushAdd15CallPop                  returned 3 writes, no hit
StackPushCallPopChain                  returned 7 writes, no hit
StageEntityInitCluster                 returned 65 writes, no hit
StageEventCluster                      returned 3 writes, no hit
StageEventComplexFsm                   returned 22 writes, no hit
StageEventDamageCluster                returned 41 writes, no hit
StageEventExitCluster                  returned 22 writes, no hit
StageEventStartCluster                 returned 20 writes, no hit
StageEventState4Way                    returned 19 writes, no hit
StageGameProgressCluster               returned 2 writes, no hit
StageGateFsmCluster                    returned 35 writes, no hit
StageParticleEmitterInit               returned 9 writes, no hit
StageRoundFlowCluster                  ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
StageTransitionCluster_ArgSarStoreJmp  ran out  5 writes, no hit
StageTransitionCluster_PendingMatch    returned 23 writes, no hit
StanceEntryCluster                     ran out  6 writes, no hit
StanceFsmCluster                       returned 15 writes, no hit
State208cBit0Flag                      returned 2 writes, no hit
State6CycleFsm                         returned 20 writes, no hit
State6Latch                            returned 0 writes, no hit
StateAdd5Capped                        returned 2 writes, no hit
StateCascadeDualThunkContin            ran out  10 writes, no hit
StateChainIndirect                     returned 16 writes, no hit
StateCmpAndStoreByte                   returned 0 writes, no hit
StateDispatchTable                     returned 2 writes, no hit
StateDispatchYield                     returned 28 writes, no hit
StateGateMStackOverlap                 returned 18 writes, no hit
StateInitShuffle                       returned 3 writes, no hit
StateInstallOrForward_0048e6b0         returned 1 writes, no hit
StateInstallOrForward_0048e6e0         returned 1 writes, no hit
StateMachine4ArmCascade                returned 7 writes, no hit
StateMachineDualModuloInstall          returned 5 writes, no hit
StateMachineInit                       returned 4 writes, no hit
StateMachineSharedTail                 returned 23 writes, no hit
StateRemapPackedInstall                returned 2 writes, no hit
StateSnapshotDispatch                  returned 17 writes, no hit
StateSwitchMStackPop                   returned 2 writes, no hit
StoreAtMinus8                          returned 0 writes, no hit
StoreByteJmp                           returned 3 writes, no hit
StoreCallPauseCallPauseJmp             returned 13 writes, no hit
StoreCallPauseCmpDirty                 returned 1 writes, no hit
StoreCallPauseDirtyStoreJmp            returned 0 writes, no hit
StoreCallPauseStore                    returned 0 writes, no hit
StoreCallPauseTestByte_DualCmpStoreClear returned 33 writes, no hit
StoreDoubleNegPauseSubStore            returned 2 writes, no hit
StoreFightFieldCallTailJmp             returned 22 writes, no hit
StoreGuardedBitInstallJmp              returned 8 writes, no hit
StoreIncrMStackPush6                   returned 4 writes, no hit
StoreLitRetSet2                        returned 2 writes, no hit
StoreLitRetSet2_EntryB_SetWalk2Phase2_0042c3d0 returned 2 writes, no hit
StoreLoadJmp                           returned 7 writes, no hit
StorePauseImulShr16                    returned 2 writes, no hit
StoreTailJmpSigned                     returned 17 writes, no hit
StoreThreeStatesPushCall               returned 13 writes, no hit
StoreTwoCall                           returned 6 writes, no hit
StoreTwoCallSubMain                    returned 13 writes, no hit
StoryCharIntroFsmCluster               returned 19 writes, no hit
StrLen                                 returned 0 writes, no hit
StrNLen                                returned 0 writes, no hit
StrSearchCall                          returned 0 writes, no hit
StrToLongDouble                        ran out  0 writes, no hit
StreamAllocInit                        ran out  1 writes, no hit
StreamChainStringInstall               returned 2 writes, no hit
StreamCleanupLoop                      ran out  1 writes, no hit
StreamFlagPackedSelectChain            returned 26 writes, no hit
StreamInitCountdownBody                returned 2 writes, no hit
StreamReadDword                        returned 1 writes, no hit
StreamReadQword                        returned 1 writes, no hit
StreamReadWord                         returned 1 writes, no hit
StrikeAnim4Picker                      returned 3 writes, no hit
StringDigitConvert                     returned 0 writes, no hit
StringStripSlotReplace                 returned 0 writes, no hit
Strncpy                                returned 0 writes, no hit
StructArrayWalkCondCall                returned 0 writes, no hit
StunDownChainCluster                   returned 5 writes, no hit
StunDownCluster                        ran out  17 writes, no hit
SubCmpCallPauseJmp                     returned 12 writes, no hit
SunbeamSpriteEmit                      returned 15 writes, no hit
SwapCallRestore                        returned 4 writes, no hit
SwapOrPassSet                          returned 3 writes, no hit
SwapSidePoseAdd51e_0047c530            returned 2 writes, no hit
SwapTwoGlobals                         returned 1 writes, no hit
SweepCluster                           returned 12 writes, no hit
SweepKickDispatcher                    returned 24 writes, no hit
SwitchErrorCode                        returned 0 writes, no hit
TableHitOrSchedule                     returned 0 writes, no hit
TableLookupCallJmp_DispatcherComplex260_then_MStackPushComplexCallPop_004aa990 returned 7 writes, no hit
TableLookupCallJmp_DispatcherComplex260_then_MStackPushComplexCallPop_004aa9c0 returned 7 writes, no hit
TableLookupCall_g_eventTbl_112         returned 1 writes, no hit
TableLookupCall_g_eventTbl_19          returned 1 writes, no hit
TableLookupCall_g_eventTbl_50          returned 1 writes, no hit
TableLookupCall_g_eventTbl_65          returned 1 writes, no hit
TableLookupIatCall                     ran out  0 writes, no hit
TablePushAccumTailJmp                  ran out  7 writes, no hit
TableSearch                            returned 0 writes, no hit
TableSetBit                            returned 1 writes, no hit
TableWalk3StrideCall                   returned 103 writes, no hit
TableWalkBoundedCmp                    returned 2 writes, no hit
TableWalkChainCall                     returned 2 writes, no hit
TableWalkMatchInsert                   returned 2 writes, no hit
TableWalkPause                         returned 1 writes, no hit
TagDispatchPairedPacked                returned 3 writes, no hit
TagTeamHandlerCluster                  returned 23 writes, no hit
TaggedSceneDispatch                    returned 0 writes, no hit
TailJmpInstallSelfPair                 returned 3 writes, no hit
TailJmpRetNops                         returned 0 writes, no hit
TailJmpTo_CallThreeSumLea              ran out  0 writes, no hit
TailJmpTo_CountdownStoreCallChain      returned 18 writes, no hit
TeamMode_JoinScreen                    returned 46 writes, no hit
Ten404c40_404bd0                       returned 3 writes, no hit
TenThunkDualSave                       returned 0 writes, no hit
Test4StatesAny                         returned 0 writes, no hit
TestByteOrAndCheck                     returned 0 writes, no hit
TestByteSelectInit                     returned 19 writes, no hit
TestCallIat                            returned 0 writes, no hit
TestCallPush4Zero                      returned 0 writes, no hit
TestCallZero                           returned 0 writes, no hit
TestCmpZeroFour                        returned 0 writes, no hit
TestEqJmpInitFightGroup                returned 17 writes, no hit
TestHandleBit                          returned 0 writes, no hit
TestP1ReplaceCurrent                   returned 2 writes, no hit
TestPushPushCall                       returned 0 writes, no hit
TestQueueGateState                     ran out  1 writes, no hit
TestStoreConstJmp                      returned 4 writes, no hit
TestZeroJmp                            returned 0 writes, no hit
Tex_DecodeRLE16                        returned 0 writes, no hit
TextModeReadStream                     ran out  0 writes, no hit
TexturedTriRasterize                   returned 0 writes, no hit
TexturedTriRasterizeAlpha              returned 0 writes, no hit
TexturedTriRasterizeAlphaPal           returned 0 writes, no hit
TexturedTriRasterizeDithered           returned 0 writes, no hit
TexturedTriRasterizeShaded             returned 0 writes, no hit
ThreeCallChainCopy                     ran out  9 writes, no hit
ThreeChan11BitPack                     returned 0 writes, no hit
ThreeChanPackClamp                     returned 0 writes, no hit
ThreeCharNormalize                     returned 8 writes, no hit
ThreeClampLoop                         returned 4 writes, no hit
ThreeMul10Stores                       returned 3 writes, no hit
ThreeStageDirtyToggle                  returned 0 writes, no hit
ThreeStageGateCascade                  ran out  3 writes, no hit
ThresholdInitInstallSelfChain          returned 37 writes, no hit
ThresholdPauseDispatch                 returned 0 writes, no hit
ThresholdSetMatchDispatch              returned 2 writes, no hit
ThresholdedTailJmps                    ran out  6 writes, no hit
ThrowAnimSetupCluster                  returned 24 writes, no hit
ThrowAnimTriggerCluster                returned 4 writes, no hit
ThrowChargeCluster                     returned 13 writes, no hit
ThrowEventCluster                      returned 5 writes, no hit
ThrowFlowSetupCluster                  returned 8 writes, no hit
ThrowFsmCluster_InstallSelfIndirectJmpNeg returned 19 writes, no hit
ThrowFsmCluster_MStackPush2RunCountdown returned 19 writes, no hit
ThrowGrabInitCluster                   returned 35 writes, no hit
ThrowGrabPoseCopyCluster               returned 24 writes, no hit
ThrowInitLinkCluster                   returned 12 writes, no hit
ThrowPairPoseCluster                   returned 3 writes, no hit
ThrowPoseCallbackSetup                 returned 5 writes, no hit
ThrowTakedownCluster                   returned 2 writes, no hit
ThrowTakedownStepCluster               returned 15 writes, no hit
ThunkPlus4FieldCjCopy                  returned 21 writes, no hit
ThunkPlusCjMul10Accum                  returned 3 writes, no hit
Thunk_AppInit_Misc2                    ran out  0 writes, no hit
Thunk_BootMod6487eClampAndChainMul10   returned 0 writes, no hit
Thunk_ChainNodeInit                    returned 8 writes, no hit
Thunk_ExitGame                         ran out  1 writes, no hit
Thunk_FlushDrawQueue                   returned 0 writes, no hit
Thunk_GuardedDoubleCallSetJmp          ran out  45 writes, no hit
Thunk_GuardedSeq                       ran out  2 writes, no hit
Thunk_Helper_GeoLoadPre                ran out  0 writes, no hit
Thunk_InstallSelfChainSet2011          returned 37 writes, no hit
Thunk_InstallSelfChainSetB333          returned 34 writes, no hit
Thunk_InstallSelfChainSetB333v2        returned 34 writes, no hit
Thunk_InstallSelfPacked0x2005          returned 34 writes, no hit
Thunk_InstallSelfThreeStateDispatch    returned 35 writes, no hit
Thunk_LinkedListBitMaskSearch          returned 2 writes, no hit
Thunk_LoadGeoAsset_Default             returned 0 writes, no hit
Thunk_LoadShlDerefCallSkip             returned 0 writes, no hit
Thunk_MStackPush2ChainPrepend          returned 5 writes, no hit
Thunk_NodeChainMaskMatch               returned 0 writes, no hit
Thunk_PrefixThunkInstallSelf3State     returned 40 writes, no hit
Thunk_ScaledAddrInit                   returned 49 writes, no hit
Thunk_ScaledLoadInstallOrCall          returned 0 writes, no hit
Thunk_ScaledNeg1SetPause               returned 0 writes, no hit
Thunk_SetJmp                           returned 40 writes, no hit
Thunk_StackPopDispatchTagged_004296e0  ran out  2 writes, no hit
Thunk_StackPopDispatchTagged_004647f0  ran out  2 writes, no hit
Thunk_StructArrayWalkCondCall          returned 0 writes, no hit
Thunk_Thunk                            returned 8 writes, no hit
Thunk_Thunk_0049cbc0_0045e0f0          returned 0 writes, no hit
Thunk_Thunk_0049cbc0_0049cbb0          returned 0 writes, no hit
Thunk_Wrapper_00438ee0_00435de0        returned 29 writes, no hit
Thunk_Wrapper_00438ee0_004368d0        returned 29 writes, no hit
Thunk_ZeroLargeBlock                   returned 0 writes, no hit
TickAllEntities                        returned 12 writes, no hit
TierBranchChain                        returned 0 writes, no hit
TieredCmpDispatch                      returned 1 writes, no hit
TimeValAdd3                            returned 0 writes, no hit
TimerWindowThreshDispatch              returned 16 writes, no hit
TimerWindowWrap                        returned 3 writes, no hit
Timer_Init                             ran out  0 writes, no hit
TitleDemoStateMachine                  ran out  28 writes, no hit
Title_PressStartScreen                 returned 0 writes, no hit
TlsSlotInit                            ran out  1 writes, no hit
Tolower                                returned 0 writes, no hit
TolowerLocale                          returned 0 writes, no hit
TournamentMenuFsmCluster               returned 10 writes, no hit
TowerStageInitCluster                  returned 12 writes, no hit
TradePlaceChain                        returned 1 writes, no hit
Transform9Words                        returned 0 writes, no hit
TransformAccumulate                    returned 6 writes, no hit
TransformVertex                        returned 0 writes, no hit
TranslateMsgId                         returned 0 writes, no hit
TriBranchFlagWrite                     returned 5 writes, no hit
TriBranchJmp                           returned 28 writes, no hit
TriCmpOrFinal                          returned 4 writes, no hit
TriCounterReinitChain                  returned 35 writes, no hit
TriDispatchSetupChain                  returned 27 writes, no hit
TriEntryGateMain                       returned 40 writes, no hit
TriPhaseDecCounterListAdvance          returned 23 writes, no hit
TriPhaseDualPathInstallChain           returned 15 writes, no hit
TriPhaseGateInstallSelfBig             returned 19 writes, no hit
TriStageChainGate                      returned 35 writes, no hit
TriStageDispatchTailJmp                returned 5 writes, no hit
Triple3PathDispatch                    ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
Triple3VecMul10Tail                    returned 3 writes, no hit
TripleAddVec3                          returned 0 writes, no hit
TripleArgScaledShiftCall               returned 8 writes, no hit
TripleArrayDiffClamp                   returned 4 writes, no hit
TripleBlockChainDiffMStackThunks       returned 5 writes, no hit
TripleBlockChainScaledInits            returned 4 writes, no hit
TripleBlockCjCopy                      returned 16 writes, no hit
TripleBlockInstallSelf                 returned 32 writes, no hit
TripleBlockInstallSelfMidBody          returned 49 writes, no hit
TripleBlockInstallSelfThunk            returned 14 writes, no hit
TripleBlockInstallThresholdMasked      returned 17 writes, no hit
TripleBranchInstall                    returned 14 writes, no hit
TripleByteCheck                        returned 0 writes, no hit
TripleByteCheck20                      returned 0 writes, no hit
TripleCallBitJmp                       ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
TripleCallByteCheck                    ran out  1 writes, no hit
TripleCallCountdown                    returned 6 writes, no hit
TripleCallPauseJmp                     returned 14 writes, no hit
TripleCallPauseTestPush                returned 44 writes, no hit
TripleCallSetCopy                      ran out  1 writes, no hit
TripleChainSetupDualCall               returned 4 writes, no hit
TripleChainTailJmp                     returned 11 writes, no hit
TripleEntry03ChainArg                  returned 37 writes, no hit
TripleEntry3Block                      returned 2 writes, no hit
TripleEntryBitsetMStack                returned 8 writes, no hit
TripleEntryChainGate                   returned 3 writes, no hit
TripleEntryCountdownInstall            returned 38 writes, no hit
TripleEntryDispatch                    returned 20 writes, no hit
TripleEntryGate                        returned 0 writes, no hit
TripleEntryStateCascade                returned 38 writes, no hit
TripleEntryTblPushJmp                  returned 2 writes, no hit
TripleEntryWordChainInc5               returned 11 writes, no hit
TripleEntryWordPushChain               returned 2 writes, no hit
TripleFieldChainSub                    returned 2 writes, no hit
TripleFieldCopyBitMerge                returned 1 writes, no hit
TripleFieldCopyHi                      returned 3 writes, no hit
TripleFieldCopyJmpHi                   returned 10 writes, no hit
TripleFieldCopyJmpLo                   returned 10 writes, no hit
TripleFieldCopyLo                      returned 3 writes, no hit
TripleGuardSetTailJmp                  returned 47 writes, no hit
TripleInstallJmp_0045da80              returned 4 writes, no hit
TripleInstallJmp_0045dab0              returned 4 writes, no hit
TripleMStackPushChainStores            returned 5 writes, no hit
TripleMod411262                        returned 4 writes, no hit
TripleMul10TailIndexed                 returned 5 writes, no hit
TripleMul10VecJmpFpu                   returned 0 writes, no hit
TripleScaledChainStore                 returned 6 writes, no hit
TripleScaledChainStore54               returned 2 writes, no hit
TripleScaledChainStore60               returned 2 writes, no hit
TripleSetCallPauseDirtyJmp             returned 4 writes, no hit
TripleStageRollback                    returned 0 writes, no hit
TripleStateSwapCall                    ran out  5 writes, no hit
TripleStringCascade                    returned 22 writes, no hit
TripleStringPauseChain                 returned 8 writes, no hit
TripleStubPushCall                     returned 39 writes, no hit
TripleSubInstallSelfPair               returned 17 writes, no hit
TripleSubVec3                          returned 0 writes, no hit
TripleTestInstallJmp_004a0130          returned 20 writes, no hit
TripleTestInstallJmp_004a0440          returned 21 writes, no hit
TripleThresholdDispatch                returned 13 writes, no hit
TripleThunkInstallBody                 returned 20 writes, no hit
TripleVecAccCallStore                  returned 3 writes, no hit
TripleVecModClamp                      returned 0 writes, no hit
TristripBatchEmit                      returned 0 writes, no hit
TristripBatchEmit2                     returned 0 writes, no hit
TristripBatchEmit3Cap                  returned 0 writes, no hit
TryAllocWithHandler                    ran out  1 writes, no hit
TryInitRenderer                        returned 0 writes, no hit
TwinEntryFpHelper                      returned 0 writes, no hit
TwinLoopSlotFinder                     ran out  3 writes, no hit
TwinMStackPushScaledChain              returned 4 writes, no hit
TwinRecordIter                         returned 1 writes, no hit
TwinTagClear                           returned 3 writes, no hit
TwoCallJmp                             returned 3 writes, no hit
TwoCallPauseSetJmp                     returned 16 writes, no hit
TwoCallPauseSetJmp2                    returned 16 writes, no hit
TwoCallScaledOr1600                    returned 6 writes, no hit
TwoCallStatePauseJmp                   ran out  8 writes, no hit
TwoCallTail_GateDispatch6c_then_CjTableThresholdDispatch_then_AggressorRunInitCluster returned 25 writes, no hit
TwoCallTail_ScaledStore501Set8Jmp_then_Cascade3ChainInit_then_StoreLitRetSet2 returned 31 writes, no hit
TwoCallsPushCall                       returned 43 writes, no hit
TwoCallsTwoBranchTail                  returned 3 writes, no hit
TwoConditionalJmp                      returned 2 writes, no hit
TwoEntryPhasePair                      returned 17 writes, no hit
